,User,Date,Review
131,RgvPhilosophy,1 year ago,"Rare film don’t miss it in theatre ,,love from hyd ️ , Kamal Hassan Sir , and vijay sethupati acting superb  n last that high punch by ROLEX , ROLEX SIRRRRRRRR "
132,Angel42402,1 year ago,"Three Legends in one movie Fahad , Vijay and Kamal Hassan ..What else this film could be "
133,joel4503,4 days ago,Still goosebumps 
134,Rahulghosh-yi4ig,1 year ago,John wick of Indian cinema...can't wait for vikram2 and john wick 4
135,vishakcharli7258,6 months ago,"Who are waiting for thalapathy 67
Director LOKESHKANAGARAJ 
#LCU"
136,sportforce7625,1 year ago,"Three finest actor of india ️️️
Kamal hasan + FAFA + Vijay sethupathi "
137,darkknight2414,11 months ago,"A Bengali here just watched this movie and this was the final nail in the coffin, bollywood is light yrs behind such amazing movies
Nowadays my friends are having wet dreams with anime 
but I am now officialy a fanboy of movies from Southern India️"
138,tanujkumar121,11 months ago,"Another reason to love India cinema.
Terrific story ,infact the a real headache for our society-Drugs.
Terrific music.
Terrific performance."
139,saraswathisornapudi5272,7 months ago,"As a telugu person 
I say there is no movie industry in India which can touch the tamil film industry
Thalapathy
Thalaivar
Thala
Ulaga nayagan"
140,siddharth6529,1 year ago,No doubt Vikram tops my list of movies of 2022 
141,mohamedajmal915,2 months ago,1 year of this Masterpiece 
142,neelmevada1104,1 year ago,1:15 Goosebumps 
143,rajashreenayak4624,1 year ago,What a movie sir what a movie. Just mind blowing. This is a masterpiece and I am never gonna forget this.
144,animestatuscreator1452,11 months ago,"This movie....... Is just phenomenon and it's theme and story is just on another level just watched this is called TRUE Blast 
This is India's Next Talent
Kamal Haasan Sir made most  terrifying and unimaginable goosebumps 
Once Upon a Time there lived a Ghost 
Vikram"
145,santosh5030,1 month ago,28 June 2023 - Still Goosebumps guaranteed
146,zilybutt131,1 year ago,its a mindblowing movie patiently waiting for part 2
147,souravdash7,8 months ago,Awesome...vikram movie is just fabulous. .
148,murugadoss3567,1 year ago,"சம்பளத்தை மட்டுமே குறிக்கோளாக கொண்டு நடிக்கிற தமிழ் சினிமாவில் , ..கதை , நடிப்பு , திறமையை மட்டுமே வைத்து நடிக்கும் ஒரு கலைஞன் கமல்ஹாசன் மட்டுமே ️ ️  இவர் இருக்கும் வரை தமிழ் சினிமா தோற்று போகாது   ️ ️  "
149,mdomerkhan9026,1 year ago,"I have watched this movie VIKRAM several times mann this is father of KGF!! 
I loved KGF and now VIKRAM too but prefer vikram over kgf ...... Obsessed with this workk"
150,MissBairagi,1 year ago,"Kal hi ye movie dekhi This movie is Masterpiece  full of emotions,suspense, and Action great, Acting label of all actors is superb High "
151,praveens8140,2 months ago,Vikram  fans assemble 
152,gunaguna6949,11 months ago,4முறை படம் பாத்தச்சு சொல்ல ஒரே ஒரு வார்த்தைதான் mass
153,vinoo202,7 months ago,This film personifies why Tamil Cinema is leaps and bounds ahead of Bollywood!!!!!!!!!!!!
154,Ricky-ss2wd,1 year ago,இப்போதுள்ள தமிழ் சினிமாவின் கடைசி நம்பிக்கை Vikram மட்டும் தான் ️️
155,DhirajKumar-zv1bx,1 year ago,"Next level, beyond expectations, masterpiece, hats off."
156,neerajsakpal,11 months ago,Why this movie is so underrated??? This should be super blockbuster 
157,shashidharyadav9092,2 months ago,Masterpiece
158,aravindhanaravindhan1024,4 months ago,2:05 an anirudh musical mass
159,sebastianvijay5440,3 months ago,One Yr Of Trailer 
160,krishnakumar-bg1wo,1 year ago,The man who keeps on experimenting and introducing new technologies to Indian cinema...Hope this time he gets the proper recognition in Indian box office which he deserved truly than any other....Kamalhassan
161,Hunter-1080,6 months ago,Waiting for LEO teaser and trailer 
162,manikandan16dec,1 month ago,Got an urge to watch the trailer again for Andavar’s voice… goosebumps..
163,tndhanush4614,8 months ago,"VIKRAM 
""ONCE UPON A TIME THERE LIVED A GHOST""
BEST MOVIE IN MY LIFE"
164,simanchaldalai9629,1 year ago,"What a movie,mind blowing.superbhats off to all Tamil stars."
165,vigneshrocky1885,6 months ago,1 hour to go thalapathy 67  title promo
166,IftiAlam1999,1 year ago (edited),"Kamal Hassan, Fahad Faasil and Vijay Sethupathi in one film? Not a bad start to the new decade"
167,laxmikantabehera6447,9 months ago,It's an absolute masterpiece 
168,sunilshahi3949,1 year ago,Vijay Sethupathi single factor and attraction of the movie. His role and acting is superb.
169,raghavprasath4156,1 month ago,Anyone waiting for leo trailer
170,asifsheikh2077,1 year ago,OMG what a trailer i am very excited to see this movie in Hindi dubbing 
171,habeebahmad6458,7 months ago,"Kamal haasan , vijay sethupathi, fahad faasil = cast of the century."
172,FallenAngel981,1 year ago,"Avengers Assemble...
The star Cast in the movie is 
They aren't just superstars,
These guys are genuinely good actors..
Kamal,Fahad and Vijay Sethupathy... Probably the  3 best actors in India.️️
As a Malayal it is always Great to See Fahad,Chemban Vinod and Naraine in any movie together.
Excited.... Confirmed FDFS."
173,sayanmondal3977,11 months ago,Masterpiece..Surya &  Kamal sir .just outstanding ️
174,akhilajaykumar5102,1 year ago,3 legendary actors in one film 
175,jaissunsiva8707,4 months ago,Waiting for Leo trailer 
176,chinmayjoshi8743,11 months ago,This was hands down the best movie of 2022
177,itspecialist5065,4 weeks ago,The film that changes the Kollywood style
178,ferozaf8612,1 year ago,Hope all our heroes and their fans live with friendship and no fan wars should happen ️ let's make all our south Indian movies reach great level in world movies 🇮🇳
179,samuelmekaat7722,1 year ago,This Trailer was way better than the Teaser and the film was a Masterpiece.
180,chandniakter9547,11 months ago,Masterpiece 
181,Sanjay-my9fy,2 months ago (edited),Waiting for  #leo trailer 
182,loganathand8121,6 months ago,Trailer ra pathha la gossebumps ma ena padam but waiting for thalapathi 67
183,smash3550,7 months ago,Goosebumps ️
184,syedazhar7773,1 year ago,3 Powerhouse performers in a single movie. My God!! Goosebumps
185,vijeth607,7 days ago,Anirudh is the heart of this film
186,akshayroy163,6 months ago,ലോകേഷ് brilliance 
187,dharanikumar1260,13 days ago,Goosebumps trailer
188,abeginner3502,10 months ago,"Awesome ️
Gave goosebumps "
189,sarfaraznawazhussain6884,1 month ago,Adrenaline rush 
190,VijayKumar-sr3ei,1 year ago,"It's really big thing that Kamal sir equally shared screen presence with other actors... This is wht we expect ️️.... Aandavar, VJS. FaFa.. Vera level combo ..."
191,bhagyalaxmipadmanabhan8172,1 year ago,"Vikram is simply mind blowing n astounding movie..i was getting goosebumps while watching each n every scene of Kamal sir,vijay sethupathy n Fahad!!! Background music has naile it even more!!!!wowwwwww"
192,sujathpasha4783,1 year ago,"The entire movie is one side and the ROLEX SIR entry with BGM my god, Lokesh has taken this movie to different level and the Music by Anirudh you are awesome bro.
And Kamal Sir you are too awesome"
193,VijayKarthik27,3 months ago,Waiting For #LEO - #LokeshKanagaraj Sambhavam 
194,pk2030,1 year ago,Fantastic movie watched it with English subtitles and thoroughly enjoyed it
195,koushiksivabalan9804,1 year ago,Anirudh's music is a lit and it perfectly suits this movie. Congratulations to the whole Vikram team for the massive success. And Kamal sir next level acting.
196,sudhanshutiwari4950,11 months ago (edited),This movie should be re-released in theaters 
197,saran1651,8 months ago,Milestone of tamil cinema
198,user-ox1gh6vl1u,2 months ago,Tamil Cinema's MASTERPIECE
199,vyshnavkrishna312,1 month ago,Waiting For Leo Teaser 
200,srikantholety8514,1 year ago,"Watched 2nd time today especially for Anirudh's  BGM nd songs 
Kamal, Fafa, Sethupathi nd Surya all were given equal importance nd very well directed by Lokesh. Mindblowing BGM by Anirudh. Fight scenes r awesome. Interval bang nd climax r very good. Watched Night show nd it was housefull all over in Bangalore. Good comeback by Ulaga Nayakan, Nata Thilakam Sakala kala Vallabah Kamal Sir  Waiting for next part 
 Kamal vs Surya "
201,camcuts1393,2 months ago,If kollywood needs comeback...kamal is der to do it
202,MyJANA55,1 year ago,ஐந்தாவது முறை பார்த்துவிட்டு வெளியே வருகிறேன் திரையரங்கில் இருந்து என்னால் மீள முடியவில்லை ஆண்டவர் மிரட்டி விட்டார் 
203,moviestimenow8612,4 months ago,Waiting Leo Trailer 
204,SHREEJA4,1 year ago,K G F2 படத்தின் வெற்றியை போல் விக்ரம் படம் வெற்றி அடைந்தால்.... உண்மையில் தமிழக மக்களுக்கு மகிழ்ச்சியே....
205,gomathi..eesanethunai2426,1 year ago,Unbelievable....maass pannirukanka..no words to say Kamal sir's performance....
206,FirozKhan-qg5rd,1 year ago,Master piece is word more more little for this movie. After you watch you dont have word to appreciate it. Who is agree with me. Kamal sir ne toh kamaal hi kar diya. Legend is legend forever. My journey pushpak to vikram. Kamal sir pls dont stop for making cinema for us like this.
207,umesh9973,5 months ago,2:08  Vera level 
208,abhisheksrini9807,1 year ago,"If Kamal sir wins, Cinema wins. Hence proved!  #VikramRoaringSuccess"
209,VIGNESH-df2ri,5 months ago,Waiting for LEO trailer 
210,karthikraja7088,1 year ago,63 years in cinema. Everytime we see a new person on screen. That is Kamal Haasan. There is no end for him and no match for him.
211,driftingsoul6150,1 year ago,Loved the movie. Big fan of Vijay Sethupathi !! Totally nailed it.
212,colorparadise7075,1 year ago,Vijay Sethupathi should do a Protagonist role in Lokesh movie 
213,er.saranrajcivil5501,6 months ago,"How many of u waiting for thalapathy 67 Title teasar ️

Like Here "
214,indhukumar5650,1 year ago,"RRR pride of telugu cinema
KGF pride of kannada cinema
Vikram pride of Tamil cinema"
215,sabidrafi9679,6 months ago,Now waiting for Leo trailer like this masterpiece movie Vikram 
216,sam9239,1 year ago,Feels good to see Kamal back in the limelight and getting this much attention. Truly an icon of Indian cinema 
217,srinibashmishra207,8 months ago,Rolex's eye roll gives goosebumps 
218,stylishthamizhan5774,1 year ago,"First cinematic universe in india started by Kollywood 
Lokesh Cinematic Universe (LCU)
Kaithi x Vikram x Thalapathy 67 ️"
219,viratirfan9763,4 months ago,"After Waiting For THALAPATHY'S ""LEO""..."
220,margaretceline2711,1 year ago,"Nice movie had to see twice to understand it, Kamal Sir's acting beyond words,. VIKRAM"
221,iamsingle5810,3 months ago,Still goosebumps wating LEO
222,jnn1620,1 year ago,"Fahadh ️, Sethupathi , Kamal ......
3 extraordinary actors in one frame..... Woah what a visual treat 
All the very best to the whole team "
223,Arunadevi-ck6od,1 year ago,VijaySethupathi villan ah pannathulaye 'VIKRAM' tha mass...and fafa...vera level 'VIKRAM = a lokesh kanagaraj factory'...what a movie 
224,hatakekakashi5405,1 year ago,Shall i go see the doctor ? Its been 12 days since i watched vikram for the first time and i have gone 6 times till today to watch it. I have beel listening to its bgm whenever i am awake . Daily i get the urge to go see it again. Love from odisha 
225,karvis028,6 months ago,What an amazing trailer !! Hats off to the one who created it. Loki level of thinking is unimaginable
226,beginner-letsgo2196,10 months ago,This is beyond masterpiece.
227,Mr.Smiley02,5 months ago,2 rolex scene came in trailerno one noticed before movie!now we knew!!!
228,sachinSs799,1 year ago,"The trailer looks so very promising  Hope they don't disappoint us, All The Very Best and Congratulations to the Whole Team"
229,underratednatzo,1 year ago,Fahad... What an actor 
230,editfyking9052,1 year ago,"What a movie ️ love from Karnataka, extraordinary kamal hasan sir , u nailed it.vera level da.anirudh bgm worked out dis time"
231,Hallosarangan9,2 months ago,Waiting for LEO Trailer 
232,santhkumar777,10 months ago,"Movie total running days in tamilnadu - 113
Biggest blockbuster in Kollywood history ..."
233,raymondraphael676,4 months ago (edited),The only trailer i come back to watch even its been 10 months after release.
234,aravindhgv5687,1 year ago,"Never underestimate tamil cinema 
When Rajini, vijay, Ajith fails we have still Aandavar and surya to uplift ️"
235,thenaveedhasan,1 year ago,"watched twice the last 9 minutes of the movie , what an entry of Surya 
Also did anyone notice they will bring kaithi's Dilli  a.k.a Karthi  in next part. It's gonna be huge blockbuster."
236,saburabeevi2041,1 year ago,I'm so  proud of tamil industry
237,sambhram.l212,6 months ago,"I saw it on June 5th in theatre 
Now seeing trailer is nostalgia"
238,kunalbonysharma89,1 year ago,This is called a trailer in real sense....mind blowing....bollywood can never match the class..
239,mohammedrayan7200,6 months ago,Verithanam ah waiting for Thalapathi 67
