,Users,Date,Review_content
250,danish7247,1 year ago,"Before this movie i just thought he was a expired time actor but after looking this movie vikram  , Sir i become a die hard fan of yours. Love from Assam ️"
251,dannypradeep48,4 months ago,Thanks for lokesh for giving this master piece.. Watching our legend dancing....
252,maduraisamayal9290,1 year ago,இந்த வருடம் வந்த தமிழ் படங்களில் மக்கள் மனதை மிகவும் கவர்ந்தபடம் மற்றும் பாடல் என்றால் அது விக்ரம் மட்டுமே  
253,funzonekerala,1 year ago,Superb choreography for kamal sir
254,karthikeya7362,1 year ago,One and only Kamal Hassan ️
255,Kingofkarma98,11 months ago,"I don’t understand what they are saying but still love it  
Love from England 󠁧󠁢󠁥󠁮󠁧󠁿"
256,kanmanikanmani8154,1 year ago,Recently addicted to this 
257,travaling2208,7 months ago,සුපිරි 
258,NIROSHINEESUKUMARAN,1 year ago,That 2 minutes 48 seconds of my precious time watching this masterpiece from the legend itself was amazing ️. Age is definitely not a barrier 
259,bharath4542,1 year ago,It's been 2 months  still andavar in the top  pa whatta energy masssu 
260,meerameera1285,1 year ago,Semma superb song
261,Adishkkesri,11 months ago,One of the best hero kamal sir️️
262,level6050,1 year ago,Vere level energy 
263,yoshsashzyoshsashz1818,6 months ago,Amazing 
264,mahar_sunny,1 year ago,"The screen presence that he brings is what makes him the best, the break has indeed brought the freshness eager for july 8 now to watch it."
265,contentthedudalchannel,1 year ago,Superb dance performance of ulaga nayagan 
266,vsripriya5786,1 year ago,Vera level  song iam in Vikram  fan
267,gklnedits1571,6 months ago,Anirudh Music vera level 
268,Saikrishna-go4be,1 year ago,"Greatness is showing his Mark even in this tough movie/acting competition..

Age is just a number.

Talent is everything."
269,AtifSS_,4 months ago,1:09 was my favorite
270,sekart3250,1 year ago,"எத்தனை தடவை கேட்டாலும் புதுசா கவனிக் கருதுக்கு ஏதாச்சும் இருக்கும் ஒரே பாடல்னா அது ""பத்தல பத்தல"" மாட்டு தான் "
271,_GOLD_STAR_,1 year ago,Wow till now this song is #1 on trending for music
272,romanreignsfanclub8872,1 year ago,Kamal Hassan is very energetic and dynamic dance at age in 67
273,ranjan9841,2 months ago,
274,gayathrisuresh7970,1 year ago,YT suggested me this song while listening to #BaarishAayiHai sang by Shreya Ghoshal. Both are such an amazing team! Kudos to team!
275,sathishthala6259,11 months ago,Kamal sir dance Vera level....
276,vigneshs-cj2ls,1 year ago,"""Pathala Pathala"" 's craze & energy never goes down even after listening many no. of times..."
277,crispygirl07,1 year ago (edited),My fav 1:08- 1:23 . Best beats
278,dharmarajg920,1 year ago,Always love you Kamal sir
279,shinusreedhar7430,3 months ago,Salute you sir ️️
280,tn.67..9,1 year ago,Waiting for Vikaram-2 
281,mrgamer708,3 months ago,I don't understand this song because im from Maharashtra but in enjoy this song 
282,stanley2120,1 year ago (edited),"முழு பாடலையும் எதிர்பார்த்தேன்
 
ஆண்டவர்️️"
283,rajivdas8811,1 year ago,"Old is Gold 
always 
Komol Hasan "
284,arunraj6849,1 year ago,Ulaganayagan voice 
